Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
7,2755.75,1,310726,1022514756,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030153,""
7,2755.75,1,310726,1022514756,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030154,""
7,2755.75,1,310726,1022514756,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030155,""
7,2755.75,1,310726,1022514756,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030156,""
7,2755.75,1,310726,1022514756,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030221,""
7,2755.75,1,310726,1022514756,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030222,""
7,2755.75,1,310726,1022514756,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030223,""
7,2755.75,1,310726,1022514756,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030224,""
7,2755.75,1,310726,1022514757,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030279,""
7,2755.75,1,310726,1022514757,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030389,""
7,2755.75,1,310726,1022514757,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301030390,""
