,Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
165,7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026717,
166,7,2755.75,1,310015,1002514505,101,WA001,9999A-9999E,WA001,301026718,
167,7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026906,
168,7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026908,
169,7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026917,
170,7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026921,
171,7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026944,
172,7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026976,
173,7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026977,
174,7,2755.75,1,310015,1002514506,101,WA001,9999A-9999E,WA001,301026978,
175,8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024424,
176,8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024425,
177,8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024426,
178,8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024427,
179,8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024428,
180,8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024429,
181,8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024430,
182,8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024431,
183,8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024432,
184,8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024433,
185,8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024561,
186,8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024562,
187,8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024563,
188,8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024581,
189,8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024582,
190,8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024611,
191,8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024612,
192,8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024613,
193,8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024671,
194,8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024672,
195,8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024673,
196,8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024674,
197,8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024675,
198,8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024676,
199,8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024680,
200,8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024682,
201,8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024772,
202,8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024773,
203,8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024774,
204,8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024802,
205,8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024803,
206,8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024804,
207,8,2755.75,1,310015,1002514405,101,WA001,9999A-9999E,WA001,301025043,
208,8,2755.75,1,310015,1002514405,101,WA001,9999A-9999E,WA001,301025054,
209,8,2755.75,1,310015,1002514405,101,WA001,9999A-9999E,WA001,301025060,
210,8,2755.75,1,310015,1002514405,101,WA001,9999A-9999E,WA001,301025064,
211,8,2755.75,1,310015,1002514405,101,WA001,9999A-9999E,WA001,301025065,
212,8,2755.75,1,310015,1002514405,101,WA001,9999A-9999E,WA001,301025068,
213,8,2755.75,1,310015,1002514405,101,WA001,9999A-9999E,WA001,301025069,
214,8,2755.75,1,310015,1002514405,101,WA001,9999A-9999E,WA001,301025070,
215,8,2755.75,1,310015,1002514406,101,WA001,9999A-9999E,WA001,301025071,
216,8,2755.75,1,310015,1002514406,101,WA001,9999A-9999E,WA001,301025093,
217,8,2755.75,1,310015,1002514406,101,WA001,9999A-9999E,WA001,301025096,
218,8,2755.75,1,310015,1002514406,101,WA001,9999A-9999E,WA001,301025116,
219,8,2755.75,1,310015,1002514406,101,WA001,9999A-9999E,WA001,301025138,
220,8,2755.75,1,310015,1002514406,101,WA001,9999A-9999E,WA001,301025139,
221,8,2755.75,1,310015,1002514406,101,WA001,9999A-9999E,WA001,301025178,
222,8,2755.75,1,310015,1002514406,101,WA001,9999A-9999E,WA001,301025189,
223,8,2755.75,1,310015,1002514407,101,WA001,9999A-9999E,WA001,301025190,
224,8,2755.75,1,310015,1002514407,101,WA001,9999A-9999E,WA001,301025203,
225,8,2755.75,1,310015,1002514407,101,WA001,9999A-9999E,WA001,301025210,
226,8,2755.75,1,310015,1002514407,101,WA001,9999A-9999E,WA001,301025220,
227,8,2755.75,1,310015,1002514407,101,WA001,9999A-9999E,WA001,301025227,
228,8,2755.75,1,310015,1002514407,101,WA001,9999A-9999E,WA001,301025228,
229,8,2755.75,1,310015,1002514407,101,WA001,9999A-9999E,WA001,301025261,
230,8,2755.75,1,310015,1002514407,101,WA001,9999A-9999E,WA001,301025265,
231,8,2755.75,1,310015,1052514401,101,ID002,3117A-3123A-9999A-9999E,ID002,301024138,
232,8,2755.75,1,310015,1052514401,101,ID002,3117A-3123A-9999A-9999E,ID002,301024139,
