,Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
137,ID002,WA001,,Order,102,120,310015,232630-1-3-111,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999E
138,ID002,WA001,,Order,102,120,310015,232630-1-3-112,165,0.0598748072212646,2025-06-28 00:00:00,TX001,9999A
139,ID002,WA001,,Order,102,120,310015,232630-1-3-112,57705,20.93985303456409,2025-06-28 00:00:00,TX001,9999A
140,ID002,WA001,,Order,102,120,310015,232630-1-3-113,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999A
141,ID002,WA001,,Order,102,120,310015,232630-1-3-114,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999A
142,ID002,WA001,,Order,102,120,310015,232630-1-3-115,57871,21.00009071940488,2025-06-28 00:00:00,TX001,9999A
143,WA002,,,Order,101,120,310726,232664-1-1-101,220,0.0798330762950195,2025-06-20 00:00:00,WA007,3035A
144,WA002,,,Order,101,120,310726,232664-1-1-101,55115,20.0,2025-06-20 00:00:00,WA007,3035A
145,WA002,,,Order,101,120,310726,232664-1-1-101,220240,79.92016692370497,2025-06-20 00:00:00,WA007,3035A
146,WA002,,,Order,101,120,310726,232664-1-1-101,165345,60.0,2025-06-20 00:00:00,WA007,3035A
147,WA002,,,Order,101,120,310726,232664-1-1-102,110230,40.0,2025-06-08 00:00:00,WA007,3035A
148,WA002,,,Order,101,120,310726,232665-1-1-102,55,0.0199582690737548,2025-06-30 00:00:00,WA007,3035A
149,WA002,,,Order,101,120,310726,232665-1-1-102,330635,119.98004173092625,2025-06-30 00:00:00,WA007,3035A
150,WA002,,,Order,101,120,310726,232665-1-1-102,165345,60.0,2025-06-30 00:00:00,WA007,3035A
151,WA002,,,Order,101,120,310726,232665-1-1-102,55115,20.0,2025-06-30 00:00:00,WA007,3035A
152,WA002,,,Order,101,120,310726,232666-1-1-101,551150,200.0,2025-07-25 00:00:00,WA007,3035A
153,ID002,,,Order,101,120,310086,232675-1-6-114,44000,20.0,2025-06-01 00:00:00,ID010,3140A
154,ID002,,,Order,102,120,310015,232677-1-2-104,41336,14.999909280595118,2025-06-23 00:00:00,ID010,3117A
155,ID002,,,Order,102,120,310015,232677-1-3-105,41336,14.999909280595118,2025-08-17 00:00:00,ID010,3117A
156,ID002,,,Order,102,120,310015,232701-1-6-121,41336,14.999909280595118,2025-06-04 00:00:00,ID010,9999A
157,ID002,,,Order,102,120,310015,232701-1-6-122,41336,14.999909280595118,2025-06-11 00:00:00,ID010,9999A
158,ID002,,,Order,102,120,310015,232701-1-6-123,55,0.0199582690737548,2025-05-28 00:00:00,ID010,9999A
159,ID002,,,Order,102,120,310015,232701-1-6-123,41281,14.979951011521363,2025-05-28 00:00:00,ID010,9999A
160,ID002,,,Order,102,120,310015,232701-1-6-124,55,0.0199582690737548,2025-05-28 00:00:00,ID010,9999A
161,ID002,,,Order,102,120,310015,232701-1-6-124,41281,14.979951011521363,2025-05-28 00:00:00,ID010,9999A
162,ID002,,,Order,102,120,310015,232701-1-7-125,41336,14.999909280595118,2025-06-19 00:00:00,ID010,9999A
163,ID002,,,Order,102,120,310015,232701-1-7-126,41336,14.999909280595118,2025-07-09 00:00:00,ID010,9999A
164,ID002,,,Order,102,120,310015,232701-1-7-127,41336,14.999909280595118,2025-07-16 00:00:00,ID010,9999A
165,ID002,,,Order,102,120,310015,232701-1-7-128,41336,14.999909280595118,2025-07-23 00:00:00,ID010,9999A
166,ID002,,,Order,102,120,310015,232701-1-8-129,41336,14.999909280595118,2025-07-17 00:00:00,ID010,9999A
167,ID002,,,Order,102,120,310015,232701-1-8-130,41336,14.999909280595118,2025-08-12 00:00:00,ID010,9999A
168,ID002,,,Order,102,120,310015,232701-1-8-131,41336,14.999909280595118,2025-08-19 00:00:00,ID010,9999A
169,ID002,,,Order,102,120,310015,232701-1-8-132,41336,14.999909280595118,2025-08-26 00:00:00,ID010,9999A
170,ID002,,,Order,102,120,310015,232701-1-8-133,41336,14.999909280595118,2025-09-02 00:00:00,ID010,9999A
171,ID002,,,Order,102,120,310015,232701-1-8-134,41336,14.999909280595118,2025-09-09 00:00:00,ID010,9999A
172,WA001,,,Order,102,120,310015,232743-1-6-111,41336,14.999909280595118,2025-06-05 00:00:00,WA001,9999A
173,WA001,,,Order,102,120,310015,232743-1-6-112,41336,14.999909280595118,2025-06-17 00:00:00,WA001,9999A
174,WA001,,,Order,102,120,310015,232743-1-7-113,41336,14.999909280595118,2025-06-24 00:00:00,WA001,9999A
175,WA001,,,Order,102,120,310015,232743-1-7-114,41336,14.999909280595118,2025-07-08 00:00:00,WA001,9999A
176,ID002,WA001,,Order,102,120,310015,232807-1-3-165,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
177,ID002,WA001,,Order,102,120,310015,232807-1-3-166,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
178,ID002,WA001,,Order,102,120,310015,232807-1-3-167,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
179,ID002,WA001,,Order,102,120,310015,232807-1-3-168,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
180,ID002,WA001,,Order,102,120,310015,232807-1-3-169,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
181,ID002,WA001,,Order,102,120,310015,232807-1-3-170,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
182,ID002,WA001,,Order,102,120,310015,232807-1-3-171,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
183,ID002,WA001,,Order,102,120,310015,232807-1-3-172,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
184,ID002,WA001,,Order,102,120,310015,232807-1-3-173,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
185,ID002,WA001,,Order,102,120,310015,232807-1-3-174,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
186,ID002,WA001,,Order,102,120,310015,232807-1-3-175,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
187,ID002,WA001,,Order,102,120,310015,232807-1-3-176,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
188,ID002,WA001,,Order,102,120,310015,232807-1-3-177,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
189,ID002,WA001,,Order,102,120,310015,232807-1-3-178,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
190,ID002,WA001,,Order,102,120,310015,232807-1-3-179,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
191,ID002,WA001,,Order,102,120,310015,232807-1-3-180,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
192,ID002,WA001,,Order,102,120,310015,232807-1-3-181,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
193,ID002,WA001,,Order,102,120,310015,232807-1-3-182,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
194,ID002,WA001,,Order,102,120,310015,232807-1-3-183,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
195,ID002,WA001,,Order,102,120,310015,232807-1-3-184,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
196,ID002,WA001,,Order,102,120,310015,232807-1-3-185,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
197,ID002,WA001,,Order,102,120,310015,232807-1-3-186,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
198,ID002,WA001,,Order,102,120,310015,232807-1-3-187,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
199,ID002,WA001,,Order,102,120,310015,232807-1-3-188,55115,20.0,2025-07-01 00:00:00,MEX002,9999A
200,ID002,WA001,,Order,102,120,310015,232807-1-3-189,55115,20.0,2025-07-31 00:00:00,MEX002,9999A
201,ID002,WA001,,Order,102,120,310015,232807-1-3-190,55115,20.0,2025-07-31 00:00:00,MEX002,9999A
202,ID002,WA001,,Order,102,120,310015,232807-1-3-191,55115,20.0,2025-07-31 00:00:00,MEX002,9999A
203,ID002,WA001,,Order,102,120,310015,232807-1-3-192,55115,20.0,2025-07-31 00:00:00,MEX002,9999A
204,ID002,WA001,,Order,102,120,310015,232807-1-3-193,55115,20.0,2025-07-31 00:00:00,MEX002,9999A
