,Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
85,WA001,,,Order,102,120,310018,232482-1-2-102,41336,14.999909280595118,2025-08-25 00:00:00,WA001,9999A
86,WA001,,,Order,102,120,310774,232483-1-3-111,41800,19.0,2025-06-06 00:00:00,WA001,9999A
87,WA001,,,Order,102,120,310774,232483-1-4-112,41800,19.0,2025-06-06 00:00:00,WA001,9999A
88,WA001,,,Order,102,120,310774,232483-1-4-113,41800,19.0,2025-06-09 00:00:00,WA001,9999A
89,WA001,,,Order,102,120,310774,232483-1-4-114,41800,19.0,2025-06-11 00:00:00,WA001,9999A
90,WA001,,,Order,102,120,310774,232483-1-4-115,41800,19.0,2025-06-10 00:00:00,WA001,9999A
91,WA001,,,Order,102,120,310774,232483-1-4-116,41800,19.0,2025-06-24 00:00:00,WA001,9999A
92,WA001,,,Order,102,120,310774,232483-1-4-117,41800,19.0,2025-06-25 00:00:00,WA001,9999A
93,WA001,,,Order,102,120,310774,232483-1-4-118,41800,19.0,2025-06-23 00:00:00,WA001,9999A
94,WA001,,,Order,102,120,310774,232483-1-5-119,41800,19.0,2025-07-09 00:00:00,WA001,9999A
95,WA001,,,Order,102,120,310774,232483-1-5-120,41800,19.0,2025-07-08 00:00:00,WA001,9999A
96,WA001,,,Order,102,120,310774,232483-1-5-121,41800,19.0,2025-07-21 00:00:00,WA001,9999A
97,WA001,,,Order,102,120,310774,232483-1-5-122,41800,19.0,2025-07-23 00:00:00,WA001,9999A
98,WA001,,,Order,102,120,310774,232483-1-5-123,41800,19.0,2025-07-28 00:00:00,WA001,9999A
99,WA001,,,Order,102,120,310774,232483-1-6-124,41800,19.0,2025-08-04 00:00:00,WA001,9999A
100,WA001,,,Order,102,120,310774,232483-1-6-125,41800,19.0,2025-08-05 00:00:00,WA001,9999A
101,WA001,,,Order,102,120,310002,232487-1-2-108,41336,14.999909280595118,2025-06-04 00:00:00,WA001,9999A
102,WA001,,,Order,102,120,310002,232487-1-2-109,41336,14.999909280595118,2025-06-09 00:00:00,WA001,9999A
103,WA001,,,Order,102,120,310002,232487-1-2-110,41336,14.999909280595118,2025-06-09 00:00:00,WA001,9999A
104,WA001,,,Order,102,120,310002,232487-1-3-111,41336,14.999909280595118,2025-07-02 00:00:00,WA001,9999A
105,WA001,,,Order,102,120,310002,232487-1-3-112,41336,14.999909280595118,2025-08-26 00:00:00,WA001,9999A
