Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
ID002,WA001,,Order,102,,310015,233486-1-1-106,,16,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-107,,16,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-102,,16,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-103,,16,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-104,,16,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-105,,16,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-109,,16,5/29/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-110,,16,5/29/2025,TX001,9999A
WA002,WA003,,Order,102,,310724,233281-1-1-101,,40,5/30/2025,WA007,9999E
ID002,WA001,,Order,102,,310015,232501-1-6-122,,14.99990928,5/31/2025,ID010,9999E
ID002,WA001,,Order,102,,310015,232501-1-6-121,,14.99990928,5/31/2025,ID010,9999E
ID002,WA001,,Order,102,,310015,232501-1-6-123,,14.99990928,5/31/2025,ID010,9999E
ID002,WA001,,Order,102,,310015,232501-1-6-124,,14.99990928,5/31/2025,ID010,9999E
ID002,WA001,,Order,102,,310015,232807-1-1-122,,20,5/31/2025,MEX002,9999A
ID002,WA001,,Order,102,,310015,232807-1-1-124,,20,5/31/2025,MEX002,9999A
ID002,,,Order,101,,310086,232675-1-6-114,,20,6/1/2025,ID010,3140A
WA002,WA003,,Order,101,,310724,233107-1-1-101,,160,6/1/2025,WA007,9999E
ID002,WA001,,Order,102,,310015,232807-1-2-135,,20,6/1/2025,MEX002,9999A
ID002,WA001,,Order,102,,310015,233444-1-2-104,,16,6/1/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233444-1-2-105,,16,6/1/2025,TX001,9999A
ID002,WA001,,Order,102,,310015,233444-1-2-106,,16,6/1/2025,TX001,9999A
ID002,,,Order,101,,310768,232513-1-5-113,,20,6/3/2025,ID010,3200A
ID002,,,Order,101,,310768,232513-1-5-114,,20,6/3/2025,ID010,9999A
WA003,,,Order,102,,310726,233262-1-1-102,,80,6/4/2025,WA007,9999E
WA003,,,Order,102,,310726,233241-1-1-101,,200,6/4/2025,WA007,9999E
ID002,,,Order,102,,310015,232701-1-6-121,,14.99990928,6/4/2025,ID010,9999A
WA003,,,Order,101,,310726,233227-1-1-103,,400,6/6/2025,WA007,3007S
WA003,,,Order,102,,310726,233244-1-1-101,,240,6/6/2025,WA007,9999E
WA002,,,Order,102,,310724,233232-1-1-101,,200,6/6/2025,WA007,9999E
WA002,,,Order,102,,310726,233506-1-2-101,,15.20021773,6/6/2025,WA011,9999A
ID002,,,Order,102,,310015,233479-1-2-101,,5.000090719,6/6/2025,ID010,9999A
WA003,,,Order,102,,310726,233235-1-1-101,,200,6/7/2025,WA007,9999E
WA003,,,Order,102,,310726,233235-1-1-102,,200,6/7/2025,WA007,9999E
WA003,,,Order,102,,310726,233262-1-1-104,,80,6/7/2025,WA007,9999E
WA002,,,Order,101,,310726,232664-1-1-102,,40,6/8/2025,WA007,3035A
ID002,,,Order,101,,310724,233509-1-1-114,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-115,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-116,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-117,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-118,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-119,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-120,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-108,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-109,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-110,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-111,,14.99990928,6/8/2025,ID010,9999E
ID002,,,Order,101,,310724,233509-1-1-112,,14.99990928,6/8/2025,ID010,9999E
