Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
ID002,,,Order,101,,310015,233366-1-1-101,,14.99990928,2025-05-21 00:00:00,ID002,3123A
ID002,,,Order,101,,310015,233366-1-1-102,,14.99990928,2025-05-21 00:00:00,ID002,3123A
ID002,,,Order,101,,310015,233367-1-1-109,,14.99990928,2025-05-21 00:00:00,ID002,3123A
ID002,,,Order,101,,310015,233367-1-1-110,,14.99990928,2025-05-21 00:00:00,ID002,3123A
ID002,,,Order,102,,310015,233440-1-1-107,,14.99990928,2025-05-21 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233440-1-1-109,,14.99990928,2025-05-21 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233440-1-1-125,,14.99990928,2025-05-21 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233445-1-1-102,,14.99990928,2025-05-21 00:00:00,ID002,9999A
ID002,WA001,,Order,102,,310015,233442-1-1-103,,16,2025-05-22 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233442-1-1-104,,16,2025-05-22 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233442-1-1-105,,16,2025-05-22 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233442-1-1-106,,16,2025-05-22 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233442-1-1-101,,16,2025-05-22 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233442-1-1-102,,16,2025-05-22 00:00:00,TX001,9999A
WA001,,,Order,102,,310015,233311-1-1-105,,18.00018144,2025-05-22 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233311-1-1-111,,18.00018144,2025-05-22 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233311-1-1-112,,17.99981856,2025-05-22 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-105,,14.99990928,2025-05-22 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-108,,14.99990928,2025-05-22 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-113,,14.99990928,2025-05-22 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-125,,18.00018144,2025-05-22 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-126,,18.00018144,2025-05-22 00:00:00,WA001,9999A
WA003,WA002,,Order,101,,310726,233296-1-1-101,,80,2025-05-23 00:00:00,WA007,9999E
ID002,WA001,,Order,102,,310015,233444-1-1-101,,16,2025-05-23 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233444-1-1-103,,16,2025-05-23 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233444-1-1-102,,16,2025-05-23 00:00:00,TX001,9999A
WA002,,,Order,101,,310726,232663-1-1-103,,20,2025-05-23 00:00:00,WA007,3035A
WA002,,,Order,101,,310726,232663-1-1-104,,20,2025-05-23 00:00:00,WA007,3035A
WA002,,,Order,101,,310726,232663-1-1-105,,20,2025-05-23 00:00:00,WA007,3035A
WA001,,,Order,102,,310015,232485-1-1-101,,4,2025-05-23 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233320-1-1-126,,14.99990928,2025-05-23 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-110,,14.99990928,2025-05-23 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-112,,14.99990928,2025-05-23 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-114,,14.99990928,2025-05-23 00:00:00,WA001,9999A
ID002,,,Order,101,,310015,233366-1-1-103,,14.99990928,2025-05-23 00:00:00,ID002,3123A
WA001,,,Order,102,,310015,233390-1-1-104,,14.99990928,2025-05-23 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233390-1-1-105,,14.99990928,2025-05-23 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233390-1-1-106,,14.99990928,2025-05-23 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233390-1-1-107,,14.99990928,2025-05-23 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233390-1-1-108,,14.99990928,2025-05-23 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233390-1-1-109,,14.99990928,2025-05-23 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233390-1-1-110,,14.99990928,2025-05-23 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233390-1-1-111,,14.99990928,2025-05-23 00:00:00,WA001,9999A
WA003,,,Order,101,,310726,233215-1-1-101,,20,2025-05-24 00:00:00,WA007,9999E
WA002,,,Order,101,,310726,233183-1-1-103,,20,2025-05-24 00:00:00,WA007,9999E
WA002,,,Order,101,,310726,233223-1-2-109,,60,2025-05-24 00:00:00,WA007,9999E
WA003,WA002,,Order,102,,310726,233259-1-1-101,,20,2025-05-25 00:00:00,WA007,9999A
ID002,,,Order,101,,310015,233465-1-1-107,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-108,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-125,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-115,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-121,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-122,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-123,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-124,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-120,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-113,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-114,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-116,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-117,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-118,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-119,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-109,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-110,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-111,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-112,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-106,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-103,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-104,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-105,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-102,,16,2025-05-26 00:00:00,TX001,3123A
ID002,,,Order,101,,310015,233465-1-1-101,,16,2025-05-26 00:00:00,TX001,3123A
WA001,,,Order,102,,310015,233378-1-1-104,,14.99990928,2025-05-26 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233378-1-1-105,,14.99990928,2025-05-26 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233378-1-1-106,,14.99990928,2025-05-26 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233378-1-1-107,,14.99990928,2025-05-26 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233378-1-1-108,,14.99990928,2025-05-26 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233378-1-1-109,,14.99990928,2025-05-26 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233378-1-1-110,,14.99990928,2025-05-26 00:00:00,WA001,9999A
WA001,,,Order,102,,310015,233378-1-1-111,,14.99990928,2025-05-26 00:00:00,WA001,9999A
WA003,WA002,,Order,101,,310726,233393-1-1-101,,60,2025-05-26 00:00:00,WA007,9999A
WA002,WA003,,Order,101,,310726,233466-1-1-102,,20,2025-05-26 00:00:00,WA007,9999E
ID002,,,Order,101,,310086,233449-1-1-103,,19,2025-05-27 00:00:00,ID010,3139A
ID002,,,Order,101,,310086,233449-1-1-104,,19,2025-05-27 00:00:00,ID010,3139A
ID002,,,Order,101,,310086,233449-1-1-105,,19,2025-05-27 00:00:00,ID010,3139A
ID002,,,Order,101,,310086,233449-1-1-101,,19,2025-05-27 00:00:00,ID010,3139A
ID002,,,Order,101,,310086,233449-1-1-102,,19,2025-05-27 00:00:00,ID010,3139A
ID002,WA001,,Order,102,,310015,233487-1-1-101,,16,2025-05-27 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233487-1-1-104,,16,2025-05-27 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233487-1-1-105,,16,2025-05-27 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233487-1-1-102,,16,2025-05-27 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233487-1-1-103,,16,2025-05-27 00:00:00,TX001,9999A
WA001,,,Order,101,,310015,233327-1-1-111,,14.99990928,2025-05-27 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-115,,14.99990928,2025-05-27 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-116,,14.99990928,2025-05-27 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-117,,14.99990928,2025-05-27 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-118,,14.99990928,2025-05-27 00:00:00,WA001,9999A
WA001,,,Order,101,,310015,233327-1-1-119,,14.99990928,2025-05-27 00:00:00,WA001,9999A
ID002,,,Order,102,,310015,233440-1-1-102,,14.99990928,2025-05-27 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233445-1-1-105,,14.99990928,2025-05-27 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233445-1-1-106,,14.99990928,2025-05-27 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233445-1-1-108,,14.99990928,2025-05-27 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233450-1-1-121,,14.99990928,2025-05-27 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233450-1-1-122,,14.99990928,2025-05-27 00:00:00,ID002,9999A
WA001,,,Order,102,,310015,233455-1-1-101,,14.99990928,2025-05-27 00:00:00,WA001,9999A
WA002,WA003,,Order,101,,310726,233466-1-1-101,,100,2025-05-27 00:00:00,WA007,9999E
WA003,WA002,,Order,101,,310726,233186-1-1-101,,20,2025-05-28 00:00:00,WA007,9999E
WA003,WA002,,Order,101,,310726,233205-1-1-101,,20,2025-05-28 00:00:00,WA007,9999E
ID002,WA001,,Order,102,,310015,232630-1-1-105,,21.00009072,2025-05-28 00:00:00,TX001,9999E
WA002,,,Order,102,,310724,233238-1-1-104,,120,2025-05-28 00:00:00,WA007,9999E
WA003,WA002,,Order,101,,310726,233296-1-1-102,,80,2025-05-28 00:00:00,WA007,9999E
WA002,WA003,,Order,101,,310724,233199-1-1-101,,60,2025-05-28 00:00:00,WA007,9999E
WA002,WA003,,Order,101,,310724,233199-1-1-102,,60,2025-05-28 00:00:00,WA007,9999E
WA002,,,Order,101,,310726,233064-1-1-102,,60,2025-05-28 00:00:00,WA007,9999E
WA002,,,Order,101,,310726,233183-1-1-101,,40,2025-05-28 00:00:00,WA007,9999E
WA002,,,Order,101,,310726,233064-1-1-101,,60,2025-05-28 00:00:00,WA007,9999E
WA003,WA002,,Order,101,,310726,233394-1-1-101,,140,2025-05-28 00:00:00,WA007,9999E
WA003,,,Order,101,,310726,233198-1-1-109,,40,2025-05-28 00:00:00,WA007,9999E
WA002,,,Order,101,,310726,233064-1-1-103,,80,2025-05-28 00:00:00,WA007,9999E
ID002,WA001,,Order,102,,310015,232630-1-1-104,,21.00009072,2025-05-28 00:00:00,TX001,9999E
WA002,WA003,,Order,102,,310726,233282-1-1-101,,20,2025-05-28 00:00:00,WA007,9999E
ID002,,,Order,102,,310015,233504-1-1-103,,14.99990928,2025-05-28 00:00:00,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-105,,14.99990928,2025-05-28 00:00:00,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-106,,14.99990928,2025-05-28 00:00:00,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-107,,14.99990928,2025-05-28 00:00:00,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-108,,14.99990928,2025-05-28 00:00:00,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-109,,14.99990928,2025-05-28 00:00:00,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-104,,14.99990928,2025-05-28 00:00:00,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-102,,14.99990928,2025-05-28 00:00:00,ID010,9999A
ID002,,,Order,102,,310015,233504-1-1-101,,14.99990928,2025-05-28 00:00:00,ID010,9999A
ID002,,,Order,102,,310015,232701-1-6-123,,14.99990928,2025-05-28 00:00:00,ID010,9999A
ID002,,,Order,102,,310015,232701-1-6-124,,14.99990928,2025-05-28 00:00:00,ID010,9999A
WA001,,,Order,102,,310015,231741-1-4-108,,14.99990928,2025-05-28 00:00:00,WA001,9999A
ID002,,,Order,102,,310015,233440-1-1-104,,14.99990928,2025-05-28 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233440-1-1-119,,14.99990928,2025-05-28 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233445-1-1-101,,14.99990928,2025-05-28 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233445-1-1-103,,14.99990928,2025-05-28 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233445-1-1-104,,14.99990928,2025-05-28 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233445-1-1-107,,14.99990928,2025-05-28 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233450-1-1-123,,14.99990928,2025-05-28 00:00:00,ID002,9999A
ID002,,,Order,102,,310015,233504-1-1-110,,14.99990928,2025-05-28 00:00:00,ID010,9999A
ID002,WA001,,Order,102,,310015,233423-1-1-108,,20.99972784,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233423-1-1-107,,21.00009072,2025-05-29 00:00:00,TX001,9999A
WA003,,,Order,101,,310726,232130-1-7-119,,40,2025-05-29 00:00:00,WA007,3007DRYGUM
WA003,,,Order,101,,310726,232128-1-6-122,,80,2025-05-29 00:00:00,WA007,3007DRYGUM
ID002,WA001,,Order,102,,310015,232630-1-2-106,,21.00009072,2025-05-29 00:00:00,TX001,9999E
ID002,WA001,,Order,102,,310015,232630-1-2-107,,21.00009072,2025-05-29 00:00:00,TX001,9999E
ID002,WA001,,Order,102,,310015,233491-1-1-105,,21.00009072,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-104,,21.00009072,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-103,,21.00009072,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233491-1-1-103,,21.00009072,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233491-1-1-104,,21.00009072,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-101,,21.00009072,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-102,,21.00009072,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233491-1-1-102,,21.00009072,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-101,,16,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-105,,21.00009072,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-106,,21.00009072,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-107,,20.99972784,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-108,,20.99972784,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-108,,16,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-109,,20.99972784,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233492-1-1-110,,20.99972784,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-106,,16,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-107,,16,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,,Order,102,,310015,233486-1-1-102,,16,2025-05-29 00:00:00,TX001,9999A
