W_INSERT_DT,WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,AGE,ALLOCATED_ORDER_NUM,Allocation Date
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,14,233372-1-1-101,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,15,1447506,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,15,1447552,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,16,1447506,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,21,1447506,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,22,1447506,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,23,1447506,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,30,1441573,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,73,"",
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-3123A-9999A-9999E,104,"",
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-9999A,14,1447552,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-9999A,15,1447506,
2025-05-01 00:00:00,ID010,310015,ID002,101,3117A-9999A,109,"",
2025-05-01 00:00:00,ID010,310015,ID002,101,9999A-9999E,52,"",
2025-05-01 00:00:00,ID010,310015,ID002,102,9999A,14,1447552,
2025-05-01 00:00:00,ID010,310086,ID002,101,3139A-3140A-9999A,26,"",
2025-05-01 00:00:00,ID010,310086,ID002,101,3139A-3140A-9999A,27,"",
2025-05-01 00:00:00,ID010,310086,ID002,101,3140A,59,"",
2025-05-01 00:00:00,ID010,310768,ID002,102,9999A,120,"",
2025-05-01 00:00:00,ID012,310015,WA001,101,9999A-9999E,89,"",
2025-05-01 00:00:00,ID012,310018,WA001,102,9999A,108,"",
2025-05-01 00:00:00,ID012,310018,WA001,102,9999A,117,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,90,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3117A-9999A-9999A,68,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3117A-9999A-9999A,90,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3117S-3123A-3123A-9999A-9999E,93,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-3123A-9999A-9999E,83,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-3132A-9999A,72,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-3132A-9999A,79,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-3132A-9999A,89,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,89,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,93,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,96,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-3132A-9999A-9999E,108,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,55,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,56,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,60,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,61,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,62,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,66,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,67,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,68,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,69,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,70,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,71,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,72,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,73,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,75,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,79,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,80,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,82,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,83,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,84,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A,89,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,57,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,67,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,68,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,76,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,79,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,82,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,83,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,89,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,90,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,93,"",
