Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029254,""
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029255,""
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029256,""
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029257,""
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029268,""
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029269,""
6,2755.75,1,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029270,""
6,551.15,0,310726,1022514662,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA003,301029272,""
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025934,""
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025936,""
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025937,""
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025938,""
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025963,""
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025964,""
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025965,""
7,2755.75,1,310002,1002514501,102,WA001,9999A,WA001,301025966,""
7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026012,""
7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026026,""
7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026030,""
7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026031,""
7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026037,""
7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026044,""
7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026071,""
7,2755.75,1,310002,1002514502,102,WA001,9999A,WA001,301026072,""
7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026094,""
7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026096,""
7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026097,""
7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026098,""
7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026152,""
7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026153,""
7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026154,""
7,2755.75,1,310002,1002514503,102,WA001,9999A,WA001,301026155,""
7,2755.75,1,310002,1002514504,102,WA001,9999A,WA001,301026211,""
7,2755.75,1,310002,1002514504,102,WA001,9999A,WA001,301026230,""
7,2755.75,1,310002,1002514504,102,WA001,9999A,WA001,301026231,""
7,2755.75,1,310002,1002514504,102,WA001,9999A,WA001,301026242,""
7,2755.75,1,310002,1002514504,102,WA001,9999A,WA001,301026258,""
7,2755.75,1,310002,1002514504,102,WA001,9999A,WA001,301026268,""
7,1763.68,1,310002,1002514504,102,WA001,9999A,WA001,301026289,""
