Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
ID002,"","",Order,102,120,310015,233245-1-1-104,55115,20,2025-07-02 00:00:00,WA007,9999E
ID002,"","",Order,102,120,310015,233287-1-1-101,41336,14.999909280595118,2025-05-09 00:00:00,ID002,9999A
ID002,"","",Order,102,120,310015,233372-1-1-103,41336,14.999909280595118,2025-04-30 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233372-1-1-128,41336,14.999909280595118,2025-05-04 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233372-1-1-130,41336,14.999909280595118,2025-05-04 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233372-1-1-131,41336,14.999909280595118,2025-05-04 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233372-1-1-132,41336,14.999909280595118,2025-05-04 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233372-1-1-133,41336,14.999909280595118,2025-05-04 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233372-1-1-134,41336,14.999909280595118,2025-05-04 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233372-1-1-135,41336,14.999909280595118,2025-05-04 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233372-1-1-136,41336,14.999909280595118,2025-05-04 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233372-1-1-137,41336,14.999909280595118,2025-05-04 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233372-1-1-138,41336,14.999909280595118,2025-05-04 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310015,233372-1-1-139,41336,14.999909280595118,2025-05-04 00:00:00,ID010,9999A
ID002,"","",Order,102,120,310086,233091-1-2-103,50600,23,2025-05-29 00:00:00,TX001,9999A
ID002,WA001,"",Order,102,120,310015,232501-1-5-117,41336,14.999909280595118,2025-04-30 00:00:00,ID010,9999E
ID002,WA001,"",Order,102,120,310015,232501-1-5-118,41336,14.999909280595118,2025-04-30 00:00:00,ID010,9999E
