Period,Site,Product,BOM,"Assignment Policy","Policy Parameter","Unit BOM Cost",Status,Notes
REAL_PERIODS,WA007,310726_WA002_101_9999A_104D,BOM_310726_WA002_101_9999A_104D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_105D,BOM_310726_WA002_101_9999A_105D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_106D,BOM_310726_WA002_101_9999A_106D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_107D,BOM_310726_WA002_101_9999A_107D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_108D,BOM_310726_WA002_101_9999A_108D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_109D,BOM_310726_WA002_101_9999A_109D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_110D,BOM_310726_WA002_101_9999A_110D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_111D,BOM_310726_WA002_101_9999A_111D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_112D,BOM_310726_WA002_101_9999A_112D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_113D,BOM_310726_WA002_101_9999A_113D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_114D,BOM_310726_WA002_101_9999A_114D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_115D,BOM_310726_WA002_101_9999A_115D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_116D,BOM_310726_WA002_101_9999A_116D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_117D,BOM_310726_WA002_101_9999A_117D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_118D,BOM_310726_WA002_101_9999A_118D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_119D,BOM_310726_WA002_101_9999A_119D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_120D,BOM_310726_WA002_101_9999A_120D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_68D,BOM_310726_WA002_101_9999A_68D,"","","",include,""
REAL_PERIODS,WA007,310726_WA002_101_9999A_69D,BOM_310726_WA002_101_9999A_69D,"","","",include,""
