Site,Product,"Production Policy","Unit Production Cost","Fixed Order Cost","Fixed Order Time",CO2,"Minimum Order Quantity","Production Frequency",Status,Notes
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_54D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_55D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_56D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_57D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_58D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_59D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_60D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_61D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_62D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_63D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_64D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_65D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_66D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_67D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_68D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_69D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_70D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_71D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_72D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_73D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_74D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_75D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_76D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_77D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_78D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_79D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_80D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_81D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_82D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_83D,"","","",1.1,"","","",include,""
WA003,310726_WA003_101_3007DRYGUM-3007FO-3025S-3035A-9999A-9999E_84D,"","","",1.1,"","","",include,""
