Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO
54,2755.75,1,310726,1012504409,102,WA002,9999A,WA007,300886582
54,2755.75,1,310726,1012504409,102,WA002,9999A,WA007,300886583
54,2755.75,1,310726,1012504410,102,WA002,9999A,WA007,300886584
54,2755.75,1,310726,1012504410,102,WA002,9999A,WA007,300886602
54,2755.75,1,310726,1012504410,102,WA002,9999A,WA007,300886603
54,2755.75,1,310726,1012504410,102,WA002,9999A,WA007,300886659
54,2755.75,1,310726,1012504410,102,WA002,9999A,WA007,300886663
54,2755.75,1,310726,1012504410,102,WA002,9999A,WA007,300886664
54,2755.75,1,310726,1012504410,102,WA002,9999A,WA007,300886665
54,2755.75,1,310726,1012504410,102,WA002,9999A,WA007,300886690
54,55.115,0,310726,1012504414,101,WA002,9999A-9999E,WA007,300887021
54,2755.75,1,310726,1012504415,102,WA002,9999A,WA007,300887037
54,2755.75,1,310726,1012504415,102,WA002,9999A,WA007,300887038
54,2755.75,1,310726,1012504415,102,WA002,9999A,WA007,300887039
54,2755.75,1,310726,1012504415,102,WA002,9999A,WA007,300887040
54,2755.75,1,310726,1012504415,102,WA002,9999A,WA007,300887041
54,2755.75,1,310726,1012504415,102,WA002,9999A,WA007,300887042
54,2755.75,1,310726,1012504415,102,WA002,9999A,WA007,300887078
54,2755.75,1,310726,1012504415,102,WA002,9999A,WA007,300887079
54,2755.75,1,310726,1012504416,102,WA002,9999A,WA007,300887080
54,2755.75,1,310726,1012504416,102,WA002,9999A,WA007,300887081
54,2755.75,1,310726,1012504416,102,WA002,9999A,WA007,300887082
54,2755.75,1,310726,1012504416,102,WA002,9999A,WA007,300887176
54,2755.75,1,310726,1012504416,102,WA002,9999A,WA007,300887177
54,2755.75,1,310726,1012504416,102,WA002,9999A,WA007,300887196
53,2755.75,1,310726,1012504501,101,WA002,9999A-9999C,WA007,300887245
53,2755.75,1,310726,1012504501,101,WA002,9999A-9999C,WA007,300887246
53,2755.75,1,310726,1012504501,101,WA002,9999A-9999C,WA007,300887247
53,2755.75,1,310726,1012504501,101,WA002,9999A-9999C,WA007,300887299
53,2755.75,1,310726,1012504501,101,WA002,9999A-9999C,WA007,300887300
53,2755.75,1,310726,1012504501,101,WA002,9999A-9999C,WA007,300887301
53,2755.75,1,310726,1012504501,101,WA002,9999A-9999C,WA007,300887302
53,2755.75,1,310726,1012504501,101,WA002,9999A-9999C,WA007,300887303
53,2755.75,1,310726,1012504502,101,WA002,9999A-9999C,WA007,300887370
53,2755.75,1,310726,1012504502,101,WA002,9999A-9999C,WA007,300887371
53,2755.75,1,310726,1012504502,101,WA002,9999A-9999C,WA007,300887372
53,2755.75,1,310726,1012504502,101,WA002,9999A-9999C,WA007,300887373
53,2755.75,1,310726,1012504502,101,WA002,9999A-9999C,WA007,300887374
53,2755.75,1,310726,1012504502,101,WA002,9999A-9999C,WA007,300887427
53,2755.75,1,310726,1012504502,101,WA002,9999A-9999C,WA007,300887497
53,2755.75,1,310726,1012504502,101,WA002,9999A-9999C,WA007,300887500
53,2755.75,1,310726,1012504503,102,WA002,9999A,WA007,300887501
53,2755.75,1,310726,1012504503,102,WA002,9999A,WA007,300887502
53,2755.75,1,310726,1012504503,102,WA002,9999A,WA007,300887503
53,2755.75,1,310726,1012504503,102,WA002,9999A,WA007,300887504
53,2755.75,1,310726,1012504503,102,WA002,9999A,WA007,300887505
53,2755.75,1,310726,1012504503,102,WA002,9999A,WA007,300887540
53,2755.75,1,310726,1012504503,102,WA002,9999A,WA007,300887569
53,2755.75,1,310726,1012504503,102,WA002,9999A,WA007,300887570
53,2755.75,1,310726,1012504504,102,WA002,9999A,WA007,300887571
53,2755.75,1,310726,1012504504,102,WA002,9999A,WA007,300887580
53,2755.75,1,310726,1012504504,102,WA002,9999A,WA007,300887581
53,2755.75,1,310726,1012504504,102,WA002,9999A,WA007,300887582
53,2755.75,1,310726,1012504504,102,WA002,9999A,WA007,300887583
53,2755.75,1,310726,1012504504,102,WA002,9999A,WA007,300887584
53,2755.75,1,310726,1012504504,102,WA002,9999A,WA007,300887585
53,2755.75,1,310726,1012504504,102,WA002,9999A,WA007,300887586
53,55.115,0,310726,1012504506,101,WA002,3035A-9999A-9999E,WA007,300887683
53,2755.75,1,310726,1012504514,101,WA002,9999A-9999C-9999E,WA007,300888447
53,2755.75,1,310726,1012504514,101,WA002,9999A-9999C-9999E,WA007,300888449
53,2755.75,1,310726,1012504514,101,WA002,9999A-9999C-9999E,WA007,300888451
53,2755.75,1,310726,1012504514,101,WA002,9999A-9999C-9999E,WA007,300888454
53,2755.75,1,310726,1012504514,101,WA002,9999A-9999C-9999E,WA007,300888456
53,2755.75,1,310726,1012504514,101,WA002,9999A-9999C-9999E,WA007,300888491
53,2755.75,1,310726,1012504514,101,WA002,9999A-9999C-9999E,WA007,300888492
53,2755.75,1,310726,1012504515,101,WA002,9999A-9999C,WA007,300888500
53,2755.75,1,310726,1012504515,101,WA002,9999A-9999C,WA007,300888501
53,2755.75,1,310726,1012504515,101,WA002,9999A-9999C,WA007,300888502
53,2755.75,1,310726,1012504515,101,WA002,9999A-9999C,WA007,300888503
53,2755.75,1,310726,1012504515,101,WA002,9999A-9999C,WA007,300888505
53,2755.75,1,310726,1012504515,101,WA002,9999A-9999C,WA007,300888506
53,2755.75,1,310726,1012504515,101,WA002,9999A-9999C,WA007,300888507
53,2755.75,1,310726,1012504515,101,WA002,9999A-9999C,WA007,300888508
53,2755.75,1,310726,1012504516,102,WA002,9999A,WA007,300888633
53,2755.75,1,310726,1012504516,102,WA002,9999A,WA007,300888634
53,2755.75,1,310726,1012504516,102,WA002,9999A,WA007,300888635
53,2755.75,1,310726,1012504516,102,WA002,9999A,WA007,300888636
53,2755.75,1,310726,1012504516,102,WA002,9999A,WA007,300888652
53,2755.75,1,310726,1012504516,102,WA002,9999A,WA007,300888678
53,2755.75,1,310726,1012504516,102,WA002,9999A,WA007,300888679
53,2755.75,1,310726,1012504516,102,WA002,9999A,WA007,300888682
52,2755.75,1,310726,1012504601,101,WA002,9999A-9999C,WA007,300888710
52,2755.75,1,310726,1012504601,101,WA002,9999A-9999C,WA007,300888711
52,2755.75,1,310726,1012504601,101,WA002,9999A-9999C,WA007,300888712
52,2755.75,1,310726,1012504601,101,WA002,9999A-9999C,WA007,300888811
52,2755.75,1,310726,1012504601,101,WA002,9999A-9999C,WA007,300888812
52,2755.75,1,310726,1012504601,101,WA002,9999A-9999C,WA007,300888813
52,2755.75,1,310726,1012504601,101,WA002,9999A-9999C,WA007,300888814
52,2755.75,1,310726,1012504601,101,WA002,9999A-9999C,WA007,300888815
52,2755.75,1,310726,1012504602,101,WA002,9999A-9999C,WA007,300888824
52,2755.75,1,310726,1012504602,101,WA002,9999A-9999C,WA007,300888825
52,2755.75,1,310726,1012504602,101,WA002,9999A-9999C,WA007,300888826
52,2755.75,1,310726,1012504602,101,WA002,9999A-9999C,WA007,300888827
52,2755.75,1,310726,1012504602,101,WA002,9999A-9999C,WA007,300888828
52,2755.75,1,310726,1012504602,101,WA002,9999A-9999C,WA007,300888829
52,2755.75,1,310726,1012504602,101,WA002,9999A-9999C,WA007,300888830
52,2755.75,1,310726,1012504602,101,WA002,9999A-9999C,WA007,300888831
52,2755.75,1,310726,1012504603,101,WA002,9999A-9999C-9999CS,WA007,300888984
52,2755.75,1,310726,1012504603,101,WA002,9999A-9999C-9999CS,WA007,300888985
52,2755.75,1,310726,1012504603,101,WA002,9999A-9999C-9999CS,WA007,300888992
52,2755.75,1,310726,1012504603,101,WA002,9999A-9999C-9999CS,WA007,300888993
52,2755.75,1,310726,1012504603,101,WA002,9999A-9999C-9999CS,WA007,300888994
52,2755.75,1,310726,1012504603,101,WA002,9999A-9999C-9999CS,WA007,300888995
52,2755.75,1,310726,1012504603,101,WA002,9999A-9999C-9999CS,WA007,300888996
52,2755.75,1,310726,1012504603,101,WA002,9999A-9999C-9999CS,WA007,300888997
52,2755.75,1,310726,1012504604,101,WA002,9999A-9999C-9999CS,WA007,300889019
52,2755.75,1,310726,1012504604,101,WA002,9999A-9999C-9999CS,WA007,300889037
52,2755.75,1,310726,1012504604,101,WA002,9999A-9999C-9999CS,WA007,300889038
52,2755.75,1,310726,1012504604,101,WA002,9999A-9999C-9999CS,WA007,300889039
52,2755.75,1,310726,1012504604,101,WA002,9999A-9999C-9999CS,WA007,300889041
52,2755.75,1,310726,1012504604,101,WA002,9999A-9999C-9999CS,WA007,300889042
52,2755.75,1,310726,1012504604,101,WA002,9999A-9999C-9999CS,WA007,300889074
52,2755.75,1,310726,1012504604,101,WA002,9999A-9999C-9999CS,WA007,300889075
52,2755.75,1,310726,1012504605,101,WA002,9999A-9999C-9999CS-9999E,WA007,300889076
52,2755.75,1,310726,1012504605,101,WA002,9999A-9999C-9999CS-9999E,WA007,300889077
52,2755.75,1,310726,1012504605,101,WA002,9999A-9999C-9999CS-9999E,WA007,300889078
52,2755.75,1,310726,1012504605,101,WA002,9999A-9999C-9999CS-9999E,WA007,300889079
52,2755.75,1,310726,1012504605,101,WA002,9999A-9999C-9999CS-9999E,WA007,300889080
52,2755.75,1,310726,1012504605,101,WA002,9999A-9999C-9999CS-9999E,WA007,300889081
52,2755.75,1,310726,1012504605,101,WA002,9999A-9999C-9999CS-9999E,WA007,300889128
52,2755.75,1,310726,1012504605,101,WA002,9999A-9999C-9999CS-9999E,WA007,300889129
52,2755.75,1,310726,1012504606,101,WA002,9999A-9999C-9999E,WA007,300889160
52,2755.75,1,310726,1012504606,101,WA002,9999A-9999C-9999E,WA007,300889161
52,2755.75,1,310726,1012504606,101,WA002,9999A-9999C-9999E,WA007,300889162
52,2755.75,1,310726,1012504606,101,WA002,9999A-9999C-9999E,WA007,300889163
52,2755.75,1,310726,1012504606,101,WA002,9999A-9999C-9999E,WA007,300889218
52,2755.75,1,310726,1012504606,101,WA002,9999A-9999C-9999E,WA007,300889219
52,2755.75,1,310726,1012504606,101,WA002,9999A-9999C-9999E,WA007,300889220
52,2755.75,1,310726,1012504606,101,WA002,9999A-9999C-9999E,WA007,300889236
52,2755.75,1,310726,1012504607,101,WA002,9999A-9999E,WA007,300889237
52,2755.75,1,310726,1012504607,101,WA002,9999A-9999E,WA007,300889238
52,2755.75,1,310726,1012504607,101,WA002,9999A-9999E,WA007,300889239
52,2755.75,1,310726,1012504607,101,WA002,9999A-9999E,WA007,300889240
52,2755.75,1,310726,1012504607,101,WA002,9999A-9999E,WA007,300889241
52,2755.75,1,310726,1012504607,101,WA002,9999A-9999E,WA007,300889242
52,2755.75,1,310726,1012504607,101,WA002,9999A-9999E,WA007,300889324
52,2755.75,1,310726,1012504607,101,WA002,9999A-9999E,WA007,300889325
52,2755.75,1,310726,1012504608,101,WA002,9999A-9999E,WA007,300889329
52,2755.75,1,310726,1012504608,101,WA002,9999A-9999E,WA007,300889330
52,2755.75,1,310726,1012504608,101,WA002,9999A-9999E,WA007,300889331
52,2755.75,1,310726,1012504608,101,WA002,9999A-9999E,WA007,300889395
52,2755.75,1,310726,1012504608,101,WA002,9999A-9999E,WA007,300889396
52,2755.75,1,310726,1012504608,101,WA002,9999A-9999E,WA007,300889397
52,2755.75,1,310726,1012504608,101,WA002,9999A-9999E,WA007,300889398
52,2755.75,1,310726,1012504608,101,WA002,9999A-9999E,WA007,300889401
52,2755.75,1,310726,1012504609,101,WA002,9999A-9999E,WA007,300889403
52,2755.75,1,310726,1012504609,101,WA002,9999A-9999E,WA007,300889404
52,2755.75,1,310726,1012504609,101,WA002,9999A-9999E,WA007,300889405
52,2755.75,1,310726,1012504609,101,WA002,9999A-9999E,WA007,300889433
52,2755.75,1,310726,1012504609,101,WA002,9999A-9999E,WA007,300889434
52,2755.75,1,310726,1012504609,101,WA002,9999A-9999E,WA007,300889466
52,2755.75,1,310726,1012504609,101,WA002,9999A-9999E,WA007,300889467
52,2755.75,1,310726,1012504609,101,WA002,9999A-9999E,WA007,300889497
52,2755.75,1,310726,1012504610,101,WA002,9999A-9999E,WA007,300889498
52,2755.75,1,310726,1012504610,101,WA002,9999A-9999E,WA007,300889499
52,2755.75,1,310726,1012504610,101,WA002,9999A-9999E,WA007,300889500
52,2755.75,1,310726,1012504610,101,WA002,9999A-9999E,WA007,300889501
52,2755.75,1,310726,1012504610,101,WA002,9999A-9999E,WA007,300889516
52,2755.75,1,310726,1012504610,101,WA002,9999A-9999E,WA007,300889530
52,2755.75,1,310726,1012504610,101,WA002,9999A-9999E,WA007,300889594
52,2755.75,1,310726,1012504610,101,WA002,9999A-9999E,WA007,300889595
52,2755.75,1,310726,1012504611,101,WA002,3035A-9999A-9999E,WA007,300889601
52,2755.75,1,310726,1012504611,101,WA002,3035A-9999A-9999E,WA007,300889602
52,2755.75,1,310726,1012504611,101,WA002,3035A-9999A-9999E,WA007,300889628
52,2755.75,1,310726,1012504611,101,WA002,3035A-9999A-9999E,WA007,300889629
52,2755.75,1,310726,1012504611,101,WA002,3035A-9999A-9999E,WA007,300889630
52,2755.75,1,310726,1012504611,101,WA002,3035A-9999A-9999E,WA007,300889631
52,2755.75,1,310726,1012504611,101,WA002,3035A-9999A-9999E,WA007,300889632
52,2755.75,1,310726,1012504611,101,WA002,3035A-9999A-9999E,WA007,300889633
52,2755.75,1,310726,1012504612,101,WA002,3035A-9999A-9999E,WA007,300889662
52,2755.75,1,310726,1012504612,101,WA002,3035A-9999A-9999E,WA007,300889663
52,2755.75,1,310726,1012504612,101,WA002,3035A-9999A-9999E,WA007,300889664
52,2755.75,1,310726,1012504612,101,WA002,3035A-9999A-9999E,WA007,300889665
52,2755.75,1,310726,1012504612,101,WA002,3035A-9999A-9999E,WA007,300889674
52,2755.75,1,310726,1012504612,101,WA002,3035A-9999A-9999E,WA007,300889675
52,2755.75,1,310726,1012504612,101,WA002,3035A-9999A-9999E,WA007,300889676
52,2755.75,1,310726,1012504612,101,WA002,3035A-9999A-9999E,WA007,300889677
52,2755.75,1,310726,1012504613,101,WA002,3035A-9999A-9999E,WA007,300889698
52,2755.75,1,310726,1012504613,101,WA002,3035A-9999A-9999E,WA007,300889700
52,2755.75,1,310726,1012504613,101,WA002,3035A-9999A-9999E,WA007,300889701
52,2755.75,1,310726,1012504613,101,WA002,3035A-9999A-9999E,WA007,300889703
52,2755.75,1,310726,1012504613,101,WA002,3035A-9999A-9999E,WA007,300889705
52,2755.75,1,310726,1012504613,101,WA002,3035A-9999A-9999E,WA007,300889706
52,2755.75,1,310726,1012504613,101,WA002,3035A-9999A-9999E,WA007,300889709
52,2755.75,1,310726,1012504613,101,WA002,3035A-9999A-9999E,WA007,300889710
52,2700.635,1,310726,1012504614,101,WA002,3035A-9999A-9999E,WA007,300889776
52,2755.75,1,310726,1012504614,101,WA002,3035A-9999A-9999E,WA007,300889778
52,2755.75,1,310726,1012504614,101,WA002,3035A-9999A-9999E,WA007,300889779
52,2755.75,1,310726,1012504614,101,WA002,3035A-9999A-9999E,WA007,300889780
52,2755.75,1,310726,1012504614,101,WA002,3035A-9999A-9999E,WA007,300889797
52,2755.75,1,310726,1012504614,101,WA002,3035A-9999A-9999E,WA007,300889798
52,2755.75,1,310726,1012504614,101,WA002,3035A-9999A-9999E,WA007,300889799
52,2755.75,1,310726,1012504614,101,WA002,3035A-9999A-9999E,WA007,300889800
52,2755.75,1,310726,1012504615,101,WA002,9999A-9999E,WA007,300889801
52,2755.75,1,310726,1012504615,101,WA002,9999A-9999E,WA007,300889802
52,2755.75,1,310726,1012504615,101,WA002,9999A-9999E,WA007,300889803
52,2755.75,1,310726,1012504615,101,WA002,9999A-9999E,WA007,300889856
52,2755.75,1,310726,1012504615,101,WA002,9999A-9999E,WA007,300889857
52,2755.75,1,310726,1012504615,101,WA002,9999A-9999E,WA007,300889858
52,2755.75,1,310726,1012504615,101,WA002,9999A-9999E,WA007,300889867
52,2755.75,1,310726,1012504615,101,WA002,9999A-9999E,WA007,300889868
51,2755.75,1,310726,1012504701,102,WA002,9999A,WA007,300889920
51,2755.75,1,310726,1012504701,102,WA002,9999A,WA007,300889921
51,2755.75,1,310726,1012504701,102,WA002,9999A,WA007,300889922
51,2755.75,1,310726,1012504701,102,WA002,9999A,WA007,300889947
