Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
68,2755.75,1,310015,1052508506,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944503,
68,2700.635,1,310015,1052508506,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944504,
68,2755.75,1,310015,1052508506,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944505,
68,2755.75,1,310015,1052508506,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944528,
68,2755.75,1,310015,1052508506,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944529,
68,2755.75,1,310015,1052508506,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944530,
68,2755.75,1,310015,1052508506,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944531,
68,2755.75,1,310015,1052508509,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944682,
68,2755.75,1,310015,1052508509,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944683,
68,2755.75,1,310015,1052508509,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944684,
68,2755.75,1,310015,1052508509,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944685,
68,2755.75,1,310015,1052508509,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944711,
68,2755.75,1,310015,1052508509,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944712,
68,2755.75,1,310015,1052508509,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944713,
68,2755.75,1,310015,1052508509,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944714,
68,2755.75,1,310015,1052508515,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945121,
68,2755.75,1,310015,1052508515,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945123,
68,2755.75,1,310015,1052508515,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945125,
68,2755.75,1,310015,1052508515,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945204,
68,2755.75,1,310015,1052508515,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945205,
68,2755.75,1,310015,1052508515,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945206,
68,2755.75,1,310015,1052508515,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945207,
68,2755.75,1,310015,1052508515,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945208,
68,2755.75,1,310015,1052508516,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945224,
68,2755.75,1,310015,1052508516,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945225,
68,2755.75,1,310015,1052508516,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945226,
68,2755.75,1,310015,1052508516,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945227,
68,2755.75,1,310015,1052508516,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945228,
68,2755.75,1,310015,1052508516,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945229,
68,2755.75,1,310015,1052508516,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945230,
68,2755.75,1,310015,1052508516,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945231,
68,2755.75,1,310015,1052508517,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945284,
68,2755.75,1,310015,1052508517,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945285,
68,2755.75,1,310015,1052508517,101,ID002,3117A-3123A-9999A-9999E,MEX002,300945286,
68,55.115,0,310726,1022508563,101,WA003,3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA007,300946193,
69,2755.75,1,310015,1052508403,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944076,
69,2755.75,1,310015,1052508403,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944077,
69,2755.75,1,310015,1052508403,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944093,
69,2755.75,1,310015,1052508403,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944094,
69,2755.75,1,310015,1052508404,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944095,
69,2755.75,1,310015,1052508404,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944096,
69,2755.75,1,310015,1052508404,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944097,
69,2755.75,1,310015,1052508404,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944098,
69,2755.75,1,310015,1052508404,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944132,
69,2755.75,1,310015,1052508404,101,ID002,3117A-3123A-9999A-9999E,MEX002,300944133,
