AGE,TOTAL_WEIGHTS,TOTAL_PALLETS,ITEM_NUMBER,LOT_NO,GRADE,PRODUCTION_PLANT,SPEC,WHS_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM,JOINER,CLEANED_SPEC,SPEC_VALUE
6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028548,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028559,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028560,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028561,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514654,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028587,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028623,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028785,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028791,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028792,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028796,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028797,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028798,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514655,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028799,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028819,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028820,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2700.635,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028881,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028882,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514656,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301028883,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
