,LOT_NO,SUBLOT_NO,join_col
156,1002506705,300919769,WA001310015WA0011013117A-3123A-9999A-9999E60
157,1002508207,300941022,WA004310015WA0011019999A-9999E45
158,1002508207,300941023,WA004310015WA0011019999A-9999E45
159,1002508207,300941076,WA004310015WA0011019999A-9999E45
160,1002508207,300941077,WA004310015WA0011019999A-9999E45
161,1002508207,300941078,WA004310015WA0011019999A-9999E45
162,1002508207,300941079,WA004310015WA0011019999A-9999E45
163,1002508208,300941081,WA004310015WA0011019999A-9999E45
164,1002508208,300941082,WA004310015WA0011019999A-9999E45
165,1002508208,300941083,WA004310015WA0011019999A-9999E45
166,1002508208,300941084,WA004310015WA0011019999A-9999E45
167,1002508208,300941085,WA004310015WA0011019999A-9999E45
168,1002508208,300941086,WA004310015WA0011019999A-9999E45
169,1002508208,300941087,WA004310015WA0011019999A-9999E45
170,1002508208,300941088,WA004310015WA0011019999A-9999E45
171,1002508301,300942294,WA004310015WA0011019999A-9999E44
172,1002509005,300951764,WA001310015WA0011019999A-9999E16
173,1002509109,300953632,WA001310015WA0011019999A-9999E36
174,1002509110,300953719,WA001310015WA0011019999A-9999E36
175,1002509110,300953720,WA001310015WA0011019999A-9999E36
176,1002509110,300953721,WA001310015WA0011019999A-9999E36
177,1002509110,300953722,WA001310015WA0011019999A-9999E36
178,1002509211,300955338,WA001310015WA0011019999A-9999E35
179,1002509301,300955355,WA001310015WA0011019999A-9999E34
180,1002509301,300955381,WA001310015WA0011019999A-9999E34
181,1002509301,300955382,WA001310015WA0011019999A-9999E34
182,1002509301,300955383,WA001310015WA0011019999A-9999E34
183,1002509301,300955412,WA001310015WA0011019999A-9999E34
184,1002510006,300965565,WA001310015WA0011019999A-9999E27
185,1002510006,300965566,WA001310015WA0011019999A-9999E27
186,1002510006,300965567,WA001310015WA0011019999A-9999E27
187,1002510006,300965625,WA001310015WA0011019999A-9999E27
188,1002510006,300965626,WA001310015WA0011019999A-9999E27
189,1002510006,300965627,WA001310015WA0011019999A-9999E27
190,1002510006,300965630,WA001310015WA0011019999A-9999E27
191,1002510007,300965730,WA001310015WA0011019999A-9999E27
192,1002510007,300965731,WA001310015WA0011019999A-9999E27
193,1002510007,300965744,WA001310015WA0011019999A-9999E27
194,1002510007,300965745,WA001310015WA0011019999A-9999E27
195,1002510007,300965747,WA001310015WA0011019999A-9999E27
196,1002510007,300965765,WA001310015WA0011019999A-9999E27
197,1002510007,300965782,WA001310015WA0011019999A-9999E27
198,1002510007,300965794,WA001310015WA0011019999A-9999E27
199,1002510008,300965813,WA001310015WA0011019999A-9999E27
200,1002510008,300965814,WA001310015WA0011019999A-9999E27
201,1002510008,300965834,WA001310015WA0011019999A-9999E27
202,1002510103,300966884,WA001310015WA0011019999A-9999E26
203,1002510103,300966885,WA001310015WA0011019999A-9999E26
204,1002510103,300966907,WA001310015WA0011019999A-9999E26
205,1002510103,300966921,WA001310015WA0011019999A-9999E26
206,1002510103,300966943,WA001310015WA0011019999A-9999E26
207,1002510103,300966958,WA001310015WA0011019999A-9999E26
208,1002510103,300966971,WA001310015WA0011019999A-9999E26
209,1002510103,300966972,WA001310015WA0011019999A-9999E26
210,1002510104,300967013,WA001310015WA0011019999A-9999E26
211,1002510104,300967014,WA001310015WA0011019999A-9999E26
212,1002510104,300967015,WA001310015WA0011019999A-9999E26
213,1002510104,300967017,WA001310015WA0011019999A-9999E26
214,1002510104,300967035,WA001310015WA0011019999A-9999E26
215,1002510104,300967036,WA001310015WA0011019999A-9999E26
216,1002510104,300967037,WA001310015WA0011019999A-9999E26
217,1002510104,300967038,WA001310015WA0011019999A-9999E26
218,1002510105,300967065,WA001310015WA0011019999A-9999E26
219,1002510206,300968536,WA001310015WA0011019999A-9999E25
220,1002510206,300968556,WA001310015WA0011019999A-9999E25
221,1002510206,300968557,WA001310015WA0011019999A-9999E25
222,1002510301,300970118,WA001310015WA0011013117A-3123A-9999A-9999E24
223,1002510301,300970119,WA001310015WA0011013117A-3123A-9999A-9999E24
224,1002510301,300970120,WA001310015WA0011013117A-3123A-9999A-9999E24
225,1002510301,300970121,WA001310015WA0011013117A-3123A-9999A-9999E24
226,1002510301,300970122,WA001310015WA0011013117A-3123A-9999A-9999E24
227,1002510301,300970166,WA001310015WA0011013117A-3123A-9999A-9999E24
228,1002510301,300970167,WA001310015WA0011013117A-3123A-9999A-9999E24
229,1002510301,300970168,WA001310015WA0011013117A-3123A-9999A-9999E24
230,1002510302,300970193,WA001310015WA0011019999A-9999E24
231,1002510302,300970194,WA001310015WA0011019999A-9999E24
232,1002510302,300970195,WA001310015WA0011019999A-9999E24
233,1002510303,300970307,WA001310015WA0011019999A-9999E24
234,1002510303,300970308,WA001310015WA0011019999A-9999E24
235,1002510303,300970309,WA001310015WA0011019999A-9999E24
236,1002510303,300970310,WA001310015WA0011019999A-9999E24
237,1002510303,300970311,WA001310015WA0011019999A-9999E24
238,1002510303,300970312,WA001310015WA0011019999A-9999E24
239,1002510304,300970389,WA001310015WA0011019999A-9999E24
240,1002510304,300970390,WA001310015WA0011019999A-9999E24
241,1002510304,300970391,WA001310015WA0011019999A-9999E24
242,1002510304,300970392,WA001310015WA0011019999A-9999E24
243,1002510304,300970395,WA001310015WA0011019999A-9999E24
244,1002510304,300970440,WA001310015WA0011019999A-9999E24
245,1002510304,300970441,WA001310015WA0011019999A-9999E24
246,1002510304,300970442,WA001310015WA0011019999A-9999E24
247,1002510305,300970462,WA001310015WA0011019999A-9999E24
248,1002510305,300970463,WA001310015WA0011019999A-9999E24
249,1002510305,300970464,WA001310015WA0011019999A-9999E24
250,1002510305,300970465,WA001310015WA0011019999A-9999E24
251,1002510305,300970466,WA001310015WA0011019999A-9999E24
252,1002510305,300970467,WA001310015WA0011019999A-9999E24
253,1002510305,300970468,WA001310015WA0011019999A-9999E24
254,1002510305,300970469,WA001310015WA0011019999A-9999E24
255,1002510306,300970596,WA001310015WA0011019999A-9999E24
256,1002510306,300970597,WA001310015WA0011019999A-9999E24
257,1002510306,300970598,WA001310015WA0011019999A-9999E24
258,1002510306,300970599,WA001310015WA0011019999A-9999E24
259,1002510306,300970618,WA001310015WA0011019999A-9999E24
260,1002510306,300970619,WA001310015WA0011019999A-9999E24
261,1002510306,300970620,WA001310015WA0011019999A-9999E24
262,1002510306,300970621,WA001310015WA0011019999A-9999E24
